Number,Concept,Description,Described In,Figure,Definition,sentence,kw_bert,Synonyms
11.4.1,PERFORM QUANTITATIVE RISK ANALYSIS: INPUTS,,,,,[],[],[]
11.4.1.1,PROJECT MANAGEMENT PLAN,". project management plan components include but are not limited to:
risk management plan:. the risk managementplan specifies whether quantitative
risk analysis is required for the project: it also details the resources available for the analysis and the expected
frequency of analyses:
scope baseline:. the scope baseline describes the starting point from which the
effect of individual project risks and other sources of uncertainty are evaluated.
schedule baseline.. the schedule baseline describes the starting point from which
the effect of individual project risks and other sources of uncertainty can be evaluated.
cost baseline:. the cost baseline describes the starting point from which the effect
of individual project risks and other sources of uncertainty can be evaluated.","4.2.3.1, 11.1.3.1, 5.4.3.1, 6.5.3.1, 7.3.3.1",,. project management plan component include but be not limited torisk management plan . the risk managementplan specify whether quantitativerisk analysis be require for the project it also detail the resource available for the analysis and the expectedfrequency of analysesscope baseline . the scope baseline describe the starting point from which theeffect of individual project risk and other source of uncertainty be evaluated.schedule baseline .. the schedule baseline describe the starting point from whichthe effect of individual project risk and other source of uncertainty can be evaluated.cost baseline . the cost baseline describe the starting point from which the effectof individual project risk and other source of uncertainty can be evaluate .,"['.', 'project management plan component include but be not limited torisk management plan .', 'the risk managementplan specify whether quantitativerisk analysis be require for the project it also detail the resource available for the analysis and the expectedfrequency of analysesscope baseline .', 'the scope baseline describe the starting point from which theeffect of individual project risk and other source of uncertainty be evaluated.schedule baseline ..', 'the schedule baseline describe the starting point from whichthe effect of individual project risk and other source of uncertainty can be evaluated.cost baseline .', 'the cost baseline describe the starting point from which the effectof individual project risk and other source of uncertainty can be evaluate .']","['risk managementplan specify', 'plan risk managementplan', 'project management plan', 'risk managementplan', 'project risk source']","['design management programme', 'project management be after', 'see direction program', 'task direction contrive', 'design direction contrive', 'externalise management design', 'projection jeopardy author', 'send off risk author', 'propose lay on the line informant', 'contrive risk origin', 'cast put on the line reservoir', 'picture adventure seed']"
11.4.1.2,PROJECT DOCUMENTS,"
project documents that can be considered as inputs for this process include but are not limited to:
assumption log:. assumptions may form inputs to the quantitative risk analysis if
are assessed as posing a risk to project objectives. the effect of constraints may also be modeled during a
quantitative risk analysis.
basis of estimates. described in sections 6.4.3.2 and 7.2.3.2. the basis of estimates used in the planning of
the project may be reflected in variability modeled during a quantitative risk analysis process this may include
information on the estimate's purpose, classification, assumed accuracy, methodology, and source
cost estimates.. cost estimates provide the starting point
which cost variability
is evaluated.
cost forecasts.. forecasts such as the projects estimate to complete (etc) ,
estimate at completion (eac) , budget at completion (bac) , and to-complete performance index (tcpi) may be
compared to the results of a quantitative cost risk analysis to determine the confidence ievel associated with
achieving these targets.
duration estimates:. duration estimates provide the starting point from which
schedule variability is evaluated.
milestone list:. significant events in the project define the schedule targets against
which the results of a quantitative schedule risk analysis are compared; in order to determine the confidence
level associated with achieving these targets
430
part 1
guide
they
from -
not
resource requirements.. resource requirements provide the starting point from
which variability is evaluated.
risk register:. the risk register contains details of individual project risks to be
used as input for quantitative risk analysis.
risk report. the risk report describes sources of overall project risk and the
current overall project risk status:
schedule forecasts:. forecasts may be compared to the results of a quantitative
schedule risk analysis to determine the confidence level associated with achieving these targets.","4.1.3.2, 7.2.3.1, 7.4.3.2, 6.4.3.1, 6.2.3.3, 9.2.3.1, 11.2.3.1, 11.2.3.2, 6.6.3.2",,"project document that can be consider as input for this process include but be not limited toassumption log . assumption may form input to the quantitative risk analysis ifare assess as pose a risk to project objective . the effect of constraint may also be model during aquantitative risk analysis.basis of estimate . describe in section 6.4.3.2 and 7.2.3.2 . the basis of estimate use in the planning ofthe project may be reflect in variability model during a quantitative risk analysis process this may includeinformation on the estimate purpose , classification , assume accuracy , methodology , and sourcecost estimate .. cost estimate provide the start pointwhich cost variabilityis evaluated.cost forecast .. forecast such as the project estimate to complete etc , estimate at completion eac , budget at completion bac , and tocomplete performance index tcpi may becompare to the result of a quantitative cost risk analysis to determine the confidence ievel associate withachieve these targets.duration estimate . duration estimate provide the starting point from whichschedule variability be evaluated.milestone list . significant event in the project define the schedule target againstwhich the result of a quantitative schedule risk analysis be compare in order to determine the confidencelevel associate with achieve these targets430part 1guidetheyfrom notresource requirement .. resource requirement provide the starting point fromwhich variability be evaluated.risk register . the risk register contain detail of individual project risk to beuse as input for quantitative risk analysis.risk report . the risk report describe source of overall project risk and thecurrent overall project risk statusschedule forecast . forecast may be compare to the result of a quantitativeschedule risk analysis to determine the confidence level associate with achieve these target .","['project document that can be consider as input for this process include but be not limited toassumption log .', 'assumption may form input to the quantitative risk analysis ifare assess as pose a risk to project objective .', 'the effect of constraint may also be model during aquantitative risk analysis.basis of estimate .', 'describe in section 6.4.3.2 and 7.2.3.2 .', 'the basis of estimate use in the planning ofthe project may be reflect in variability model during a quantitative risk analysis process this may includeinformation on the estimate purpose , classification , assume accuracy , methodology , and sourcecost estimate .. cost estimate provide the start pointwhich cost variabilityis evaluated.cost forecast .. forecast such as the project estimate to complete etc , estimate at completion eac , budget at completion bac , and tocomplete performance index tcpi may becompare to the result of a quantitative cost risk analysis to determine the confidence ievel associate withachieve these targets.duration estimate .', 'duration estimate provide the starting point from whichschedule variability be evaluated.milestone list .', 'significant event in the project define the schedule target againstwhich the result of a quantitative schedule risk analysis be compare in order to determine the confidencelevel associate with achieve these targets430part 1guidetheyfrom notresource requirement .. resource requirement provide the starting point fromwhich variability be evaluated.risk register .', 'the risk register contain detail of individual project risk to beuse as input for quantitative risk analysis.risk report .', 'the risk report describe source of overall project risk and thecurrent overall project risk statusschedule forecast .', 'forecast may be compare to the result of a quantitativeschedule risk analysis to determine the confidence level associate with achieve these target .']","['overall project risk', 'risk project objective', 'project risk thecurrent', 'quantitativeschedule risk analysis', 'project risk beuse']","['overall undertaking take chances', 'overall image risk of infection', 'overall projection hazard', 'boilersuit propose chance', 'overall picture risk of infection', 'boilersuit picture endangerment', 'hazard propose object', 'run a risk stick out object', 'peril image aim', 'gamble externalise objective lens', 'chance externalise object lens', 'gamble design documentary']"
11.4.1.3,ENTERPRISE ENVIRONMENTAL FACTORS,"
the enterprise environmental factors that can influence the perform quantitative risk analysis process include but
are not limited to:
industry studies of similar projects, and
published material, including commercial risk databases or checklists.",,,"the enterprise environmental factor that can influence the perform quantitative risk analysis process include butare not limit toindustry study of similar project , andpublishe material , include commercial risk database or checklist .","['the enterprise environmental factor that can influence the perform quantitative risk analysis process include butare not limit toindustry study of similar project , andpublishe material , include commercial risk database or checklist .']","['risk analysis process', 'enterprise environmental factor', 'quantitative risk analysis', 'risk analysis', 'perform quantitative risk']","['take chances psychoanalysis work', 'gamble depth psychology procedure', 'run a risk psychoanalysis work on', 'chance analysis summons', 'chance depth psychology sue', 'take chances psychoanalysis physical process', 'endeavor environmental broker', 'go-ahead environmental factor out', 'enterprisingness environmental cistron', 'enterprise environmental gene', 'go-ahead environmental ingredient', 'enterprise environmental broker', 'quantitative risk depth psychology', 'quantitative risk of exposure analytic thinking', 'quantitative adventure analytic thinking', 'quantitative endangerment analysis', 'quantitative peril psychoanalysis', 'quantitative lay on the line analytic thinking', 'hazard psychoanalysis', 'risk analysis', 'risk of infection analysis', 'risk of exposure analytic thinking', 'put on the line analysis', 'risk of infection psychoanalysis', 'execute quantitative risk of exposure', 'execute quantitative take a chance', 'perform quantitative endangerment', 'execute quantitative adventure', 'execute quantitative chance', 'do quantitative endangerment']"
11.4.1.4,ORGANIZATIONAL PROCESS ASSETS,"
0
the  organizational  process assets that can influence the perform  quantitative  risk analysis  process include
information from similar completed projects.",,,0the organizational process asset that can influence the perform quantitative risk analysis process includeinformation from similar complete project .,['0the organizational process asset that can influence the perform quantitative risk analysis process includeinformation from similar complete project .'],"['risk analysis process', 'risk analysis', 'quantitative risk analysis', 'perform quantitative risk', 'organizational process asset']","['take chances psychoanalysis work', 'gamble depth psychology procedure', 'run a risk psychoanalysis work on', 'chance analysis summons', 'chance depth psychology sue', 'take chances psychoanalysis physical process', 'hazard psychoanalysis', 'risk analysis', 'risk of infection analysis', 'risk of exposure analytic thinking', 'put on the line analysis', 'risk of infection psychoanalysis', 'quantitative risk depth psychology', 'quantitative risk of exposure analytic thinking', 'quantitative adventure analytic thinking', 'quantitative endangerment analysis', 'quantitative peril psychoanalysis', 'quantitative lay on the line analytic thinking', 'execute quantitative risk of exposure', 'execute quantitative take a chance', 'perform quantitative endangerment', 'execute quantitative adventure', 'execute quantitative chance', 'do quantitative endangerment', 'organizational action plus', 'organizational physical process asset', 'organisational march asset', 'organizational operation asset', 'organisational work on plus', 'organizational unconscious process plus']"
11.4.2,PERFORM QUANTITATIVE RISK ANALYSIS: TOOLS AND TECHNIQUES,,,,,[],[],[]
11.4.2.1,EXPERT JUDGMENT,". expertise should be considered from individuals or groups with specialized knowledge
or training in the following topics:
translating information on individual project risks and other sources of uncertainty into numeric inputs for the
quantitative risk analysis model,
selecting the most appropriate representation of uncertainty to model particular risks or other sources of uncertainty;
modeling techniques that are appropriate in the context of the project;
identifying which tools would be most suitable for the selected modeling techniques, and
interpreting the outputs of quantitative risk analysis.
431
oo%
rer
sos
tior
not*",4.1.2.1,,". expertise should be consider from individual or group with specialized knowledgeor train in the follow topicstranslate information on individual project risk and other source of uncertainty into numeric input for thequantitative risk analysis model , select the most appropriate representation of uncertainty to model particular risk or other source of uncertaintymodele technique that be appropriate in the context of the projectidentifying which tool would be most suitable for the select modeling technique , andinterprete the output of quantitative risk analysis.431oorersostiornot","['.', 'expertise should be consider from individual or group with specialized knowledgeor train in the follow topicstranslate information on individual project risk and other source of uncertainty into numeric input for thequantitative risk analysis model , select the most appropriate representation of uncertainty to model particular risk or other source of uncertaintymodele technique that be appropriate in the context of the projectidentifying which tool would be most suitable for the select modeling technique , andinterprete the output of quantitative risk analysis.431oorersostiornot']","['risk analysis model', 'risk analysis', 'project risk', 'thequantitative risk analysis', 'project risk source']","['hazard depth psychology posture', 'jeopardy psychoanalysis manakin', 'put on the line analysis model', 'hazard psychoanalysis fashion model', 'take a chance psychoanalysis mould', 'put on the line psychoanalysis modeling', 'hazard psychoanalysis', 'risk analysis', 'risk of infection analysis', 'risk of exposure analytic thinking', 'put on the line analysis', 'risk of infection psychoanalysis', 'figure risk of exposure', 'propose peril', 'projection hazard', 'visualize risk', 'design put on the line', 'visualise risk of infection', 'projection jeopardy author', 'send off risk author', 'propose lay on the line informant', 'contrive risk origin', 'cast put on the line reservoir', 'picture adventure seed']"
11.4.2.2,DATA GATHERING,"
interviews (see section 5.2.2.2) may be used to generate inputs for the quantitative risk analysis, drawing on inputs
that include individual project risks and other sources of uncertainty: this is particularly useful where information is
required from experts. the interviewer should promote an environment of trust and confidentiality during the interview
to encourage honest and unbiased contributions:",,,"interview see section 5.2.2.2 may be use to generate input for the quantitative risk analysis , draw on inputsthat include individual project risk and other source of uncertainty this be particularly useful where information isrequire from expert . the interviewer should promote an environment of trust and confidentiality during the interviewto encourage honest and unbiased contribution","['interview see section 5.2.2.2 may be use to generate input for the quantitative risk analysis , draw on inputsthat include individual project risk and other source of uncertainty this be particularly useful where information isrequire from expert .', 'the interviewer should promote an environment of trust and confidentiality during the interviewto encourage honest and unbiased contribution']","['project risk source', 'project risk', 'risk analysis', 'risk source uncertainty', 'individual project risk']","['projection jeopardy author', 'send off risk author', 'propose lay on the line informant', 'contrive risk origin', 'cast put on the line reservoir', 'picture adventure seed', 'figure risk of exposure', 'propose peril', 'projection hazard', 'visualize risk', 'design put on the line', 'visualise risk of infection', 'hazard psychoanalysis', 'risk analysis', 'risk of infection analysis', 'risk of exposure analytic thinking', 'put on the line analysis', 'risk of infection psychoanalysis', 'jeopardy informant precariousness', 'lay on the line origin incertitude', 'chance author incertitude', 'gamble germ incertitude', 'take a chance reservoir dubiety', 'jeopardy source uncertainness', 'somebody figure take chances', 'item-by-item plan endangerment', 'private envision take chances', 'mortal stick out lay on the line', 'somebody labor risk of exposure', 'person projection risk of infection']"
11.4.2.3,INTERPERSONAL AND TEAM SKILLS,"
interpersonal and team skills that can be used for this process include but are not limited to facilitation (see
section 4.1.2.3). a skilled facilitator is useful for gathering input data during
a
dedicated risk workshop involving
project team members and other stakeholders. facilitated workshops can improve effectiveness by establishing a
clear understanding of the purpose of the workshop; building consensus among participants; ensuring continued
focus on the task, and using creative approaches to deal with interpersonal conflict or sources of bias.",,,"interpersonal and team skill that can be use for this process include but be not limit to facilitation seesection 4.1.2.3 . a skilled facilitator be useful for gather input datum duringadedicate risk workshop involvingproject team member and other stakeholder . facilitated workshop can improve effectiveness by establish aclear understanding of the purpose of the workshop build consensus among participant ensure continuedfocus on the task , and use creative approach to deal with interpersonal conflict or source of bias .","['interpersonal and team skill that can be use for this process include but be not limit to facilitation seesection 4.1.2.3 .', 'a skilled facilitator be useful for gather input datum duringadedicate risk workshop involvingproject team member and other stakeholder .', 'facilitated workshop can improve effectiveness by establish aclear understanding of the purpose of the workshop build consensus among participant ensure continuedfocus on the task , and use creative approach to deal with interpersonal conflict or source of bias .']","['risk workshop involvingproject', 'workshop involvingproject team', 'duringadedicate risk workshop', 'stakeholder facilitated workshop', 'facilitated workshop']","['stakeholder alleviate workshop', 'stakeholder facilitate workshop', 'stakeholder facilitate shop', 'stakeholder ease shop', 'stakeholder ease workshop', 'stakeholder help workshop', 'ease shop', 'facilitate shop', 'alleviate workshop', 'help workshop', 'ease workshop', 'facilitate workshop']"
11.4.2.4,REPRESENTATIONS OF UNCERTAINTY,"
quantitative risk analysis requires inputs to a quantitative risk analysis model that reflect individual project risks and
other sources of uncertainty:
where the duration, cost; or resource requirement for a planned activity is uncertain; the range of possible values
can be represented in the model as a probability distribution: this may take several forms the most commonly used
are triangular; normal, lognormal, beta, uniform, or discrete distributions. care should be taken when selecting an
appropriate probability distribution to reflect the range of possible values for the planned activity:
individual project risks may be covered by probability distributions. alternatively, risks may be included in the
model as probabilistic branches, where optional activities are added to the model to represent the time and/or cost
impact of the risk should it occur; and the chance that these activities actually occur in
a
particular simulation run
matches the risk's probability: branches are most useful for risks that might occur independently of any planned
activity: where risks are related; for example, with a common cause or a logical dependency; correlation is used in
the model to indicate this relationship.
other sources of uncertainty may also be represented using branches to describe alternative paths through
the project.
432
part 1
guide
""otion
re
diss
for
not",,,"quantitative risk analysis require input to a quantitative risk analysis model that reflect individual project risk andother source of uncertaintywhere the duration , cost or resource requirement for a plan activity be uncertain the range of possible valuescan be represent in the model as a probability distribution this may take several form the most commonly usedare triangular normal , lognormal , beta , uniform , or discrete distribution . care should be take when select anappropriate probability distribution to reflect the range of possible value for the plan activityindividual project risk may be cover by probability distribution . alternatively , risk may be include in themodel as probabilistic branch , where optional activity be add to the model to represent the time andor costimpact of the risk should it occur and the chance that these activity actually occur inaparticular simulation runmatche the risk probability branch be most useful for risk that might occur independently of any plannedactivity where risk be relate for example , with a common cause or a logical dependency correlation be use inthe model to indicate this relationship.other source of uncertainty may also be represent use branch to describe alternative path throughthe project.432part 1guideotionredissfornot","['quantitative risk analysis require input to a quantitative risk analysis model that reflect individual project risk andother source of uncertaintywhere the duration , cost or resource requirement for a plan activity be uncertain the range of possible valuescan be represent in the model as a probability distribution this may take several form the most commonly usedare triangular normal , lognormal , beta , uniform , or discrete distribution .', 'care should be take when select anappropriate probability distribution to reflect the range of possible value for the plan activityindividual project risk may be cover by probability distribution .', 'alternatively , risk may be include in themodel as probabilistic branch , where optional activity be add to the model to represent the time andor costimpact of the risk should it occur and the chance that these activity actually occur inaparticular simulation runmatche the risk probability branch be most useful for risk that might occur independently of any plannedactivity where risk be relate for example , with a common cause or a logical dependency correlation be use inthe model to indicate this relationship.other source of uncertainty may also be represent use branch to describe alternative path throughthe project.432part 1guideotionredissfornot']","['project risk andother', 'project risk', 'project risk cover', 'risk analysis require', 'risk analysis model']","['figure risk of exposure', 'propose peril', 'projection hazard', 'visualize risk', 'design put on the line', 'visualise risk of infection', 'propose run a risk enshroud', 'cast endangerment spread over', 'jut out risk continue', 'propose jeopardy deal', 'design put on the line cover version', 'envision lay on the line report', 'risk of infection psychoanalysis ask', 'risk analytic thinking need', 'adventure analysis expect', 'danger psychoanalysis command', 'chance depth psychology demand', 'put on the line analysis involve', 'hazard depth psychology posture', 'jeopardy psychoanalysis manakin', 'put on the line analysis model', 'hazard psychoanalysis fashion model', 'take a chance psychoanalysis mould', 'put on the line psychoanalysis modeling']"
11.4.2.5,DATA ANALYSIS,"
data analysis techniques that can be used during this process include but are not limited to:
simulation: quantitative risk analysis uses a model that simulates the combined effects of individual project risks
and other sources of uncertainty to evaluate their potential impact on achieving project objectives. simulations
are typically performed using
monte carlo analysis. when running
monte carlo analysis for cost risk; the
simulation uses the project cost estimates. when running a monte carlo analysis for schedule risk; the schedule
network diagram and duration estimates are used. an integrated quantitative cost-schedule risk analysis uses
both inputs. the output is a quantitative risk analysis model.
computer software is used to iterate the quantitative risk analysis model several thousand times the input
values (e.g;, cost estimates, duration estimates, or occurrence of probabilistic branches) are chosen at random
for each iteration: outputs represent the range of possible outcomes for the project (e.g;, project end date,
project cost at completion): typical outputs include a histogram presenting the number of iterations where a
particular outcome resulted from the simulation; or a cumulative probability distribution (s-curve) representing
the probability of achieving any particular outcome or less. an example s-curve from a monte carlo cost risk
analysis is shown in figure 11-13.
figure 11-13. example s-curve from quantitative cost risk analysis
433
not
for a quantitative schedule risk analysis, it is also possible to conduct a criticality analysis that determines which
elements of the risk model have the greatest effect on the project critical path. a criticality index is calculated for
each element in the risk model, which gives the frequency with which that element appears on the critical path
during the simulation, usually expressed as a percentage. the output from a criticality analysis allows the project
team to focus risk response planning efforts on those activities with the highest potential effect on the overall
schedule performance of the project:
sensitivity analysis: sensitivity analysis helps to determine which individual project risks or other sources of
uncertainty have the most potential impact on project outcomes. it correlates variations in project outcomes with
variations in elements of the quantitative risk analysis model.
one typical display of sensitivity analysis is the tornado diagram; which presents the calculated correlation
coefficient for each element of the quantitative risk analysis model that can influence the project outcome.
this can include individual project risks, project activities with high degrees of variability, or specific sources
of ambiguity: items are ordered by descending strength of correlation, giving the typical tornado appearance
an example tornado diagram is shown in figure 11-14.
figure 11-14. example tornado diagram
434
part 1
guide
noe
decision tree analysis: decision trees are used to support selection of the best of several alternative courses of
action. alternative paths through the project are shown in the decision tree using branches representing different
decisions or events, each of which can have associated costs and related individual project risks (including both
threats and opportunities). the end-points of branches in the decision tree represent the outcome from following
that particular path; which can be negative or positive.
the decision tree is evaluated by calculating the expected monetary value of each branch; allowing the optimal
path to be selected. an example decision tree is shown in figure 11-15.
c
figure 11-15. example decision
435
fol
tree
not
influence diagrams. influence diagrams are graphical aids to decision making under uncertainty. an influence
diagram represents a project or situation within the project as a set of entities, outcomes, and influences, together
with the relationships and effects between them: where an element in the influence diagram is uncertain as a
result of the existence of individual project risks or other sources of uncertainty, this can be represented in the
influence diagram using ranges or probability distributions. the influence diagram is then evaluated using
a
simulation technique, such as monte carlo analysis, to indicate which elements have the greatest influence
on key outcomes. outputs from an influence diagram are similar to other quantitative risk analysis methods,
including s-curves and tornado diagrams",,"PMBOOKimgs/figure11-13, 11-13, 11-14, 11-14, 11-15, 11-15.png","datum analysis technique that can be use during this process include but be not limited tosimulation quantitative risk analysis use a model that simulate the combine effect of individual project risksand other source of uncertainty to evaluate their potential impact on achieve project objective . simulationsare typically perform usingmonte carlo analysis . when runningmonte carlo analysis for cost risk thesimulation use the project cost estimate . when run a monte carlo analysis for schedule risk the schedulenetwork diagram and duration estimate be use . an integrate quantitative costschedule risk analysis usesboth input . the output be a quantitative risk analysis model.computer software be use to iterate the quantitative risk analysis model several thousand time the inputvalue e.g , cost estimate , duration estimate , or occurrence of probabilistic branch be choose at randomfor each iteration output represent the range of possible outcome for the project e.g , project end date , project cost at completion typical output include a histogram present the number of iteration where aparticular outcome result from the simulation or a cumulative probability distribution scurve representingthe probability of achieve any particular outcome or less . an example scurve from a monte carlo cost riskanalysis be show in figure 1113.figure 1113 . example scurve from quantitative cost risk analysis433notfor a quantitative schedule risk analysis , it be also possible to conduct a criticality analysis that determine whichelement of the risk model have the great effect on the project critical path . a criticality index be calculate foreach element in the risk model , which give the frequency with which that element appear on the critical pathdure the simulation , usually express as a percentage . the output from a criticality analysis allow the projectteam to focus risk response planning effort on those activity with the high potential effect on the overallschedule performance of the projectsensitivity analysis sensitivity analysis help to determine which individual project risk or other source ofuncertainty have the most potential impact on project outcome . it correlate variation in project outcome withvariation in element of the quantitative risk analysis model.one typical display of sensitivity analysis be the tornado diagram which present the calculate correlationcoefficient for each element of the quantitative risk analysis model that can influence the project outcome.this can include individual project risk , project activity with high degree of variability , or specific sourcesof ambiguity item be order by descend strength of correlation , give the typical tornado appearancean example tornado diagram be show in figure 1114.figure 1114 . example tornado diagram434part 1guidenoedecision tree analysis decision tree be use to support selection of the good of several alternative course ofaction . alternative path through the project be show in the decision tree use branch represent differentdecision or event , each of which can have associate cost and related individual project risk include boththreat and opportunity . the endpoint of branch in the decision tree represent the outcome from followingthat particular path which can be negative or positive.the decision tree be evaluate by calculate the expect monetary value of each branch allow the optimalpath to be select . an example decision tree be show in figure 1115.cfigure 1115 . example decision435foltreenotinfluence diagram . influence diagram be graphical aid to decision making under uncertainty . an influencediagram represent a project or situation within the project as a set of entity , outcome , and influence , togetherwith the relationship and effect between they where an element in the influence diagram be uncertain as aresult of the existence of individual project risk or other source of uncertainty , this can be represent in theinfluence diagram use range or probability distribution . the influence diagram be then evaluate usingasimulation technique , such as monte carlo analysis , to indicate which element have the great influenceon key outcome . output from an influence diagram be similar to other quantitative risk analysis method , include scurf and tornado diagram","['datum analysis technique that can be use during this process include but be not limited tosimulation quantitative risk analysis use a model that simulate the combine effect of individual project risksand other source of uncertainty to evaluate their potential impact on achieve project objective .', 'simulationsare typically perform usingmonte carlo analysis .', 'when runningmonte carlo analysis for cost risk thesimulation use the project cost estimate .', 'when run a monte carlo analysis for schedule risk the schedulenetwork diagram and duration estimate be use .', 'an integrate quantitative costschedule risk analysis usesboth input .', 'the output be a quantitative risk analysis model.computer software be use to iterate the quantitative risk analysis model several thousand time the inputvalue e.g , cost estimate , duration estimate , or occurrence of probabilistic branch be choose at randomfor each iteration output represent the range of possible outcome for the project e.g , project end date , project cost at completion typical output include a histogram present the number of iteration where aparticular outcome result from the simulation or a cumulative probability distribution scurve representingthe probability of achieve any particular outcome or less .', 'an example scurve from a monte carlo cost riskanalysis be show in figure 1113.figure 1113 .', 'example scurve from quantitative cost risk analysis433notfor a quantitative schedule risk analysis , it be also possible to conduct a criticality analysis that determine whichelement of the risk model have the great effect on the project critical path .', 'a criticality index be calculate foreach element in the risk model , which give the frequency with which that element appear on the critical pathdure the simulation , usually express as a percentage .', 'the output from a criticality analysis allow the projectteam to focus risk response planning effort on those activity with the high potential effect on the overallschedule performance of the projectsensitivity analysis sensitivity analysis help to determine which individual project risk or other source ofuncertainty have the most potential impact on project outcome .', 'it correlate variation in project outcome withvariation in element of the quantitative risk analysis model.one typical display of sensitivity analysis be the tornado diagram which present the calculate correlationcoefficient for each element of the quantitative risk analysis model that can influence the project outcome.this can include individual project risk , project activity with high degree of variability , or specific sourcesof ambiguity item be order by descend strength of correlation , give the typical tornado appearancean example tornado diagram be show in figure 1114.figure 1114 .', 'example tornado diagram434part 1guidenoedecision tree analysis decision tree be use to support selection of the good of several alternative course ofaction .', 'alternative path through the project be show in the decision tree use branch represent differentdecision or event , each of which can have associate cost and related individual project risk include boththreat and opportunity .', 'the endpoint of branch in the decision tree represent the outcome from followingthat particular path which can be negative or positive.the decision tree be evaluate by calculate the expect monetary value of each branch allow the optimalpath to be select .', 'an example decision tree be show in figure 1115.cfigure 1115 .', 'example decision435foltreenotinfluence diagram .', 'influence diagram be graphical aid to decision making under uncertainty .', 'an influencediagram represent a project or situation within the project as a set of entity , outcome , and influence , togetherwith the relationship and effect between they where an element in the influence diagram be uncertain as aresult of the existence of individual project risk or other source of uncertainty , this can be represent in theinfluence diagram use range or probability distribution .', 'the influence diagram be then evaluate usingasimulation technique , such as monte carlo analysis , to indicate which element have the great influenceon key outcome .', 'output from an influence diagram be similar to other quantitative risk analysis method , include scurf and tornado diagram']","['risk project activity', 'risk analysis method', 'schedule risk analysis', 'project risk include', 'project risk project']","['take a chance contrive bodily function', 'danger send off natural process', 'endangerment labor body process', 'run a risk task action', 'put on the line undertaking bodily process', 'endangerment propose natural action', 'jeopardy depth psychology method acting', 'peril analysis method acting', 'hazard analytic thinking method', 'risk of infection psychoanalysis method', 'jeopardy depth psychology method', 'take a chance analysis method', 'docket jeopardy psychoanalysis', 'agenda danger psychoanalysis', 'docket adventure analytic thinking', 'docket gamble psychoanalysis', 'agenda risk depth psychology', 'schedule gamble psychoanalysis', 'task risk of exposure include', 'send off chance admit', 'cast endangerment let in', 'stick out take chances let in', 'picture risk admit', 'figure take a chance let in', 'externalize risk of exposure send off', 'protrude jeopardy jut out', 'picture peril send off', 'design gamble cast', 'undertaking lay on the line fancy', 'projection danger see']"
11.4.3,PERFORM QUANTITATIVE RISK ANALYSIS: OUTPUTS,,,,,[],[],[]
